"id","address","sheet","label","type","format","formula","value","rules","version"
"6986","TLAA26",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M5-96",NULL,"749"
"6987","TLAA27",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M6-120",NULL,"749"
"6988","TLAA28",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M6-144",NULL,"749"
"6989","TLAA29",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M6-192",NULL,"749"
"6990","TLAA30",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M6-216",NULL,"749"
"6991","TLAA31",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M6-288",NULL,"749"
"6992","TLAA32",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M6-48",NULL,"749"
"6993","TLAA33",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M6-96",NULL,"749"
"6994","TLAA34",NULL,"Server Text","text",NULL,NULL,"Cisco UCS S3260-210",NULL,"749"
"6995","TLAA35",NULL,"Server Text","text",NULL,NULL,"Cisco UCS S3260-294",NULL,"749"
"6996","TLAA36",NULL,"Server Text","text",NULL,NULL,"Cisco UCS S3260-384",NULL,"749"
"6997","TLAA37",NULL,"Server Text","text",NULL,NULL,"Cisco UCS S3260-420",NULL,"749"
"6998","TLAA38",NULL,"Server Text","text",NULL,NULL,"Cisco UCS S3260-588",NULL,"749"
"6999","TLAA39",NULL,"Server Text","text",NULL,NULL,"Cisco UCS S3260-704",NULL,"749"
"7000","TLAA40",NULL,"Server Text","text",NULL,NULL,"Dell PowerEdge C6420-24",NULL,"749"
"7001","TLAA41",NULL,"Server Text","text",NULL,NULL,"Dell PowerEdge C6420-36",NULL,"749"
"7002","TLAA42",NULL,"Server Text","text",NULL,NULL,"Dell PowerEdge R640-Compute",NULL,"749"
"7003","TLAA43",NULL,"Server Text","text",NULL,NULL,"Dell PowerEdge R640-Flash",NULL,"749"
"7004","TLAA44",NULL,"Server Text","text",NULL,NULL,"Dell PowerEdge R640-ROBO-16",NULL,"749"
"7005","TLAA45",NULL,"Server Text","text",NULL,NULL,"Dell PowerEdge R640-ROBO-8",NULL,"749"
"7006","TLAA46",NULL,"Server Text","text",NULL,NULL,"Dell PowerEdge R740xd-48",NULL,"749"
"7007","TLAA47",NULL,"Server Text","text",NULL,NULL,"Dell PowerEdge R740xd-96",NULL,"749"
"7008","TLAA48",NULL,"Server Text","text",NULL,NULL,"Fujitsu PRIMERGY RX2540 M5-48",NULL,"749"
"7009","TLAA49",NULL,"Server Text","text",NULL,NULL,"Fujitsu PRIMERGY RX2540 M5-96",NULL,"749"
"7010","TLAA50",NULL,"Server Text","text",NULL,NULL,"HPE Apollo 4200 ",NULL,"749"
"7011","TLAA51",NULL,"Server Text","text",NULL,NULL,"HPE Apollo 4510 -200",NULL,"749"
"7012","TLAA52",NULL,"Server Text","text",NULL,NULL,"HPE Apollo 4510 -400",NULL,"749"
